,auto_mobility,auto_charge_station,auto_cycles,auto_points,teleop_cycles,teleop_points,total_cycles,links,link_points,total_points,cube_cycles,cube_points,cone_cycles,cone_points,bot_cycles,bot_points,mid_cycles,mid_points,top_cycles,top_points,auto_bot_cubes,auto_mid_cubes,auto_top_cubes,auto_bot_cones,auto_mid_cones,auto_top_cones,auto_bot_cycles,auto_mid_cycles,auto_top_cycles,auto_cube_cycles,auto_cone_cycles,teleop_bot_cubes,teleop_mid_cubes,teleop_top_cubes,teleop_bot_cones,teleop_mid_cones,teleop_top_cones,teleop_bot_cycles,teleop_mid_cycles,teleop_top_cycles,teleop_cube_cycles,teleop_cone_cycles,endgame_charge_station,fouls_committed,fouls_drawn,capped_fouls_committed,capped_fouls_drawn
45,2.532484461731715,2.7441028502317453,0.7349632911301129,4.517969362075295,3.9606897608062934,15.130019174644149,4.6956530519364055,1.0938078734051453,5.469039367025726,25.117027903745168,2.304673374536329,9.654478186735195,2.3909802873848505,9.989337066479374,0.6411385817481019,1.2969068802961492,1.3247706208962664,3.9083008719785375,2.729616763270376,14.43864380198646,0.05537988626978082,-0.0867304816944648,0.8269849002463608,-0.03846731445321374,0.022096867758662327,-0.03618134832085388,0.01564605182095262,-0.06542380594210825,0.7892184847062832,0.7928732343829944,-0.05509766756091425,0.5605998691836158,0.5061910611528914,0.45722014680181794,0.07686414410768697,0.888977212955674,1.4919450680516875,0.6334861855882182,1.393701075461282,1.9476689945903485,1.5175486412493704,2.4506528481231875,8.935476867157556,0.296813749791477,1.3641884513224483,0.32323642788140783,0.9776622438321304
48,2.7650841978296636,2.2909032208243616,1.4715811475124305,8.189620930986825,5.4158639322486435,19.741004771547914,6.887445079761074,2.027488407302854,10.137442036514269,38.068067739049006,2.564549616891698,9.784050921445766,4.322882407706355,18.1352942990761,1.7032979737183576,3.5478438386336237,1.458260819565011,4.484247245783021,3.7455868887614,19.915030941287483,0.11788390943048688,0.19434738357319664,0.3360442197096621,0.05197448372664114,-0.09698866823483361,0.8833618193799783,0.1674813734280729,0.09587567362150548,1.2164311661582856,0.6430935030105498,0.8335695111238074,0.7445867692542122,0.3758385179721032,0.8245282070692104,0.8064812292836668,0.9914990822977879,1.7127416312367527,1.543602364389381,1.364583944470447,2.5344617143941,1.9328247180748659,3.497333561026288,9.630726222175195,0.4607569271914017,0.0,0.5598480697402863,0.0
51,2.742169108002036,3.2912834645877815,1.6873892510310848,9.740691565736295,7.2058863692361195,22.73626656706017,8.893276103981751,2.9203910762503225,14.601955381251612,47.078913694700674,3.8661674664163814,12.735264666435821,5.027139653862692,19.737030665931016,2.2505042540557048,4.637592077274386,3.4572446728847455,10.363410674769284,3.176575734595469,17.46526552430996,0.01590484157845018,-0.016537186687498984,0.5866429600835542,0.10799701021128248,0.010100847568033032,0.9775166760566563,0.12481824494923638,-0.00586459406073764,1.5653065148014866,0.588008393194887,1.0974566051761414,1.6290768061000245,1.1319930590937624,0.5079231939143573,0.4902462611545507,2.3306009863463832,1.100663421181051,2.1222012327074813,3.4636556400526737,1.6096692083580615,3.2736689679472284,3.926672183052678,9.38498714572761,1.4923623490788052,0.8887350333417343,0.7553312369921696,1.023614028097187
56,1.5127185101056169,1.5887122879940725,0.9711933197592714,4.283928033608328,1.8781038471284972,9.08333958891937,2.8492971668877685,0.29264233494171393,1.4632116747085686,14.83047929723627,0.830611829988434,4.020319746160934,2.019033679966022,9.348191972915881,0.27179368756984124,0.9821753462004148,0.5282448823959889,1.6849092151568124,2.0633805509176097,10.727898976659137,0.16235655563073367,-0.06746240725336473,-0.047849563232206904,0.2942676932447774,0.15519593489488445,0.47820627211726946,0.4560463994122347,0.08737300271628352,0.4296335223226261,0.04578484737822143,0.926508346480373,-0.22772267664037277,0.2593141175938665,0.7591085458915121,0.04420683680130279,0.18025227822030337,0.8727583736048632,-0.18533072283435834,0.43889698676118366,1.6311842693376706,0.7877515019234717,1.0939627957276115,6.262387624957502,0.7184887396733681,2.663906940010336,0.8761678890514626,2.483576454029099
58,3.7156631775207614,3.834601993443518,0.7013474602894236,4.093240739166409,4.317977858019328,13.064040727673403,5.019325318308753,0.936329926573822,4.68164963286911,21.83893109970892,3.421235164851083,10.230260725297828,1.5983579520398643,6.903827461202237,2.5712819371810163,5.160034370693916,0.4762114010943195,1.4984522462156615,1.9733750738658553,10.481506077575029,0.07000876747842778,0.0965766945991938,0.6150632957303693,-0.05039606929380531,-0.02895002885966462,0.00032082501973099836,0.019403091477559156,0.06749589043004887,0.6151217950691432,0.7811918057783143,-0.07944661031176599,2.390836923867262,0.042214213585629115,0.20902293831639066,0.1631583643662581,0.3661916926703815,1.1501147084479741,2.553336965136376,0.40816308760480136,1.358890025089628,2.641004554631849,1.678284171741108,6.617489944127064,4.993856935634803,0.22701403611217574,4.150150364389436,0.4184080021468082
59,2.6259125268285564,2.056907453965478,1.1898212417498244,5.011420523477566,7.958993006942841,27.264561911063225,9.148813997762925,2.798315865973364,13.991579329866822,46.26756170074466,2.990902490627934,10.454662281994711,6.158904741086561,21.2141156383532,2.3317521735465303,4.703790020790601,4.137144991042159,13.436753283699252,2.6837476306056085,13.543628292272839,-0.14395406973635103,0.5798122825159612,0.2680368151506256,0.18676959593791906,0.4402647343027428,-0.14274093726807346,0.043056689654458864,1.020227480635578,0.12559769726556677,0.704420775082253,0.4847781633795468,1.0166034999592106,0.7090855135965747,0.558095322447997,1.2690741239445014,2.405328843030101,1.9968730442404714,2.2864350589755644,3.1146937321541692,2.555253268345132,2.285014875875606,5.672634345915493,8.619534373879283,0.0,1.420725869638118,0.04036803089012225,1.4271746099182911
60,2.0617599152025843,4.135263389696117,1.0721829241411436,6.097644990704294,3.6063587936355326,13.435926989555098,4.67832616105196,1.2356756447188755,6.178378223594378,25.711890436158644,1.7691173067627868,8.207711561560961,2.913930257793791,11.327331312020581,0.9847794740781577,1.9507902395824068,1.0125187327649001,3.2403311750379413,2.704902169574101,14.43049954868328,0.036202138570112896,0.18453022900413577,0.8991403216583224,-0.0314497767085387,0.0035616926324439856,0.013714397924327836,-0.0005505871597208598,0.18478336911393162,0.906218005841079,1.1083120223412173,-0.024833314401061925,0.30936353370841563,0.21241454281126732,0.18837397283625623,0.7188564563686022,0.628983440554849,1.6370091814021859,1.0115647318908105,0.8352547881085614,1.819118444792381,0.6830936782357199,2.9549806236164264,5.634677124324007,0.7724958051956854,3.2033452057043372,0.8990679455510383,3.0903575765558635
61,2.891697070004127,1.4115944515491132,0.7786150728570738,4.6705601053086365,4.633151462673345,12.050250031233082,5.411766535530417,1.0268634245660264,5.134317122830133,21.855127259371855,3.5533522968970837,10.420812071881928,1.858428800325309,6.301851823619186,2.5865577616520987,5.1900171131566655,1.674534395525753,4.999037728325879,1.1484762029264381,6.531559542371912,0.09050651287500909,0.008713302299917094,0.7074936113682724,-0.07802283994935336,-0.03341242835970015,0.07721874433665307,0.013437475614954314,-0.024104040894695658,0.7859060529080093,0.8087927592176747,-0.032299254534155324,2.1778584047482448,0.6567083663684367,-0.09922956192927707,0.3870691789756092,1.038696783724745,0.45615594938464193,2.567923243305942,1.6965100817329188,0.35805317496422706,2.7402040006724566,1.8872941327705879,9.623021733066592,3.3108577943723954,0.0,2.6195808863294445,0.0
63,1.101243443529195,4.652428451319483,1.0481165167064572,4.1974251593764595,3.245839773494834,12.892608486300789,4.293956290201291,1.0656173022296906,5.328086511148453,22.418120156825697,1.3887646611850664,4.602879831063047,2.904507336025061,12.484280509454242,1.346391450051924,2.934280160431202,0.7224402713382623,2.8285177620537745,2.2517799829663003,11.352501538411847,-0.010027235440398161,0.11822879197765575,-0.016302606478837137,0.30162777241922445,0.5293042916721162,0.163785777675974,0.2855030283759165,0.6437287990170112,0.13985205519512076,0.0786061076150302,0.9824610437681468,0.6521497858684466,0.1884938162705494,0.5302890027949548,0.46257160114463536,-0.09865487056348606,1.6131998566714083,1.0955706126672855,0.08277529380660661,2.136285486477354,1.3398199824999582,1.9427728364803578,7.900225284879841,3.321616413907278,2.759583428590596,3.237238487425344,2.250393647715256
66,3.2084069902583154,6.359360971101822,0.5509494194943669,2.950703136505857,3.3641719732669673,5.971659848696439,3.915121392761334,1.0352266575156932,5.176133287578466,14.09849627278076,3.6619798996907127,8.910879366671885,0.25321754837516974,0.003245434201514019,3.445693258110233,6.96902119736733,0.4284833394880072,1.3688427865582509,0.03053289958274636,0.5621011922878771,-0.050418931928609696,0.06071162040400729,0.4258442526466502,0.11535925240307482,0.02790233207037052,-0.03282041904280414,0.06562853441605616,0.08904333468480997,0.3938851428310245,0.4376372784054669,0.11182456639185785,3.2342405518328015,0.07519742290635203,-0.09193858770195543,0.14403564590809978,0.26280495582979513,-0.27167833214733755,3.3804377084094965,0.33879963939341307,-0.36280388914439976,3.2210110082439827,0.13903858197110502,10.879975593419939,1.63175535854855,2.9284741692519,1.6653414689255412,2.957617247642516
67,3.0820560598080515,1.7933124411595285,1.8097840410015777,9.697854385284732,7.967409629381727,25.064823142061726,9.777193546356946,3.080493445661657,15.402467228308286,50.165144723669066,5.1078367513743475,15.480775982464205,4.6695453364868476,19.29133504349162,3.1447051142856712,6.642106671653714,3.2464469449218742,9.77191106195733,3.3883133036503037,18.362980258710692,0.25598453878771804,0.009026017839773165,0.6427089935017392,0.09876755027434922,0.021584439809791994,0.781137320474343,0.3548424320611781,0.03066682337294136,1.4239593794838301,0.9079165019223727,0.9016709119243621,2.689599172318872,1.0544993016186288,0.4548526420721418,0.09835709427415856,2.1606913558352137,1.5079003113817118,2.7882400117260633,3.215295315198329,1.9628596813589572,4.199412092418852,3.7674576115227185,10.75132453156465,2.7055748989157076,0.5331146687538039,2.782691287106488,0.5011247476939755
68,2.94132368745586,1.9360290683033017,1.4480067239078924,7.232857672526366,3.7014804211176395,11.027708255007772,5.149487761744514,0.7012944732570044,3.506472366285023,21.767038476068773,3.776186171036236,11.01227311918142,1.3727025065443506,7.236778185779741,2.3303274284073754,5.148458189787031,0.9697447604681655,2.9220138702633083,1.84181486216388,10.160833595986857,0.13488868571675128,0.059296519384951216,0.21047816955954698,0.3411538587130643,-0.04138914967822014,0.7321221177112708,0.4778556261736633,0.019038565981348378,0.9448693840461526,0.4086159742437169,1.0355313606266765,2.0869783101775443,0.7300046251306918,0.53304852270903,-0.24986955437254407,0.2164643363552517,0.3544715799374213,1.8428031994881686,0.948569323968335,0.8896620109094857,3.3592827328266814,0.33127840614924436,6.7842933096671425,0.5538750243187862,0.10009300630876661,0.5189522831903337,0.4649912516641117
69,2.2829347214671207,1.5242632683680961,0.1593408666222418,0.9299807685771015,2.415835708321997,7.426742319296152,2.5751765749442392,0.29507323378214734,1.4753661689107362,9.83208925678399,1.9751091576300788,5.748945352431831,0.5996915885680199,2.6078436975096646,1.6898573636293543,3.415069699985857,-0.20457644050606016,-0.6502039863901348,1.0827260611968654,5.5793098265573535,0.026860548930763145,-0.011834049301044626,0.1155010430214546,-0.0032115065167858114,-0.021377293372193497,0.039751979835062595,0.02576038558963041,-0.03189405869371438,0.15789539792193075,0.135130365542557,0.01940725871598474,1.3172777986158095,0.10627449408310345,0.3964623593939911,0.3310995241609319,-0.28738746750710914,0.5170365470246293,1.6550085322356631,-0.17866709032543962,0.9159931697960875,1.8307878100055202,0.5726405826064703,5.065307275063656,2.27245800254578,0.876928770476683,2.1261460180933787,0.8891965862899416
70,2.886078458194744,2.0796445014129903,1.5347363545651318,8.755983753054894,5.277271617645446,17.977511411451086,6.812010728532386,1.7846943288746877,8.923471644373436,35.65696753607919,2.705105093243104,9.508919035258415,4.106894433828594,17.186086246874797,1.6035803483605173,3.292476290993559,2.0423321115967323,6.285003881285929,3.1641192627268833,17.11387925088599,-0.02706936744717532,0.10261361678818566,0.7156849821509502,0.1103166369390175,0.056031031732497516,0.5752813122830001,0.08353074640233013,0.15882151204389278,1.291321069691962,0.7918472238807958,0.7421988070024228,1.184007312691555,0.5633788463933425,0.16324940064256493,0.3347861078142241,1.3186758832666252,1.7085132854088407,1.5196837517375232,1.88238312316425,1.8720975752746931,1.9120820046050566,3.3635719385032257,12.633149165804108,0.3234162367910187,1.1805323514379538,0.10019129457540732,0.48837442386565316
71,2.841944906796106,3.216741119061531,1.0807682236939322,4.0480917917114345,5.5548328545815595,18.048229109962936,6.635601078275492,1.6806769617872157,8.403384808936078,30.49970571061045,4.46735011660203,12.287890093342284,2.168253538082747,9.804870342663978,2.940669777911123,6.087659714151271,1.6714670048442293,5.927282973324519,2.0236098923942905,10.077858732374041,0.06336959273098525,0.05127151901221696,0.006055470450925439,0.1424703522649072,0.8613172578013424,-0.04600490897537983,0.2061934635906739,0.9128093399066365,-0.039507005133813534,0.12146726859857099,0.958493320179315,2.678628552919495,0.9173506755318461,0.7465448184300212,0.05276482392382142,-0.1604413299947597,1.3141162512205598,2.7325036917730037,0.7573188787508127,2.0610787035503586,4.344327880427016,1.2084309115920466,7.638157174774195,1.071018981991876,0.0073439140708567935,0.7060052465395203,0.013101588909085806
74,2.587925868697082,2.2051282334699613,1.0253351929113856,6.0848355466719495,4.013422631578978,13.080492172823572,5.038757824490362,1.4161780290289356,7.080890145144679,26.2462178646402,2.564871214993802,9.099927936927203,2.4739625553521543,10.04792128379245,2.123459042487313,4.296348025245596,0.34868734026245346,1.0398552102149272,2.565978653336927,13.812498640040683,0.14039852857222374,-0.007989595361608808,1.0682851428782298,-0.09323218404236754,9.766019414763488e-05,-0.08790378844379858,0.04805019772387742,-0.00734049205477301,0.9814875088807093,1.2026209157239054,-0.1792616505822068,1.3233847418625053,0.26697067188901696,-0.23665075135790348,0.7439546750931836,0.08571785425063759,1.8153285529516872,2.0701153823828524,0.3537124248662088,1.5797219533348774,1.35821453560635,2.649979317799791,10.471812704221824,0.47633751235114913,0.0,0.45160801483204116,0.0
75,1.6155652050125973,4.038407364946636,0.9322672573587459,5.601285479241427,3.473317228553493,11.376339526136356,4.405584485912239,1.1591872395864355,5.7959361979321775,22.773561203309967,1.3304017069125238,4.8049643208706385,3.0754014539216943,12.164138272901765,1.7167234508170859,3.5107241782231755,0.4219367531646618,1.167410809813402,2.270355396177833,12.299691456516987,-0.03541042445442196,-0.08214940513390681,0.17041371620031603,0.11464840349281524,-0.020939523580646442,0.7802771134283986,0.08007895929242148,-0.10256423437376493,0.9517433280000708,0.05468726131349471,0.8756764747758856,0.5996999812114112,0.17773808576573097,0.49013153160339806,1.0274542665734652,0.3430956021542146,0.8212181838193056,1.629795559855593,0.5218079205379657,1.312343218645194,1.2718607120207959,2.196504809496357,4.152939397088087,4.104613793262027,0.34753592551504575,3.5136844554591984,0.7181943356230629
78,3.3289346017226595,4.647972832181658,1.1612817890511042,7.003496198195928,6.323582550811257,20.56350067268984,7.484875586885109,2.2771134502528008,11.385567251264003,38.95256723612107,2.6435228843360736,10.736558532304597,4.840522619614215,16.885068004438068,0.8078779863340441,1.6335625896073567,4.268692891745151,12.757742494977261,2.408097792732245,13.218153142329408,-0.006186828499696425,0.004761461168687714,0.9507506502526966,0.024212408327671867,-0.05082142362618937,0.23318923726319107,0.018860710607390856,-0.04553891765094588,1.184985065189197,0.9511459055059837,0.20825894518308743,0.20121260459765938,1.4120875664912296,0.07157012682201924,0.5804322575631784,2.8984601584412086,1.1459353991669068,0.7842678024709475,4.3115151812332515,1.2184921188566855,1.6891315643256142,4.62953162540237,10.753426935118899,0.0,0.09933488946741527,0.0,0.13833119174942032
